subject,cata_num,prereq_subject,prereq_cata_num,min_grade
CMPSC,431W,CMPSC,360,2
CMPSC,132,CMPSC,131,2
CMPSC,464,CMPSC,465,2
MATH,220,MATH,110,2
MATH,230,MATH,141,2
CMPEN,331,CMPEN,270,2
CMPEN,331,CMPSC,121,2
CMPSC,221,CMPSC,122,2
CMPSC,311,CMPSC,221,2
CMPSC,360,CMPSC,132,2
CMPSC,461,CMPSC,221,2
CMPSC,461,CMPSC,360,2
CMPSC,465,CMPSC,132,2
CMPSC,465,CMPSC,360,2
CMPSC,473,CMPSC,311,2
CMPSC,473,CMPEN,331,2
ENGL,202C,ENGL,15,2
MATH,141,MATH,140,2
PHYS,211,MATH,140,2
PHYS,212,MATH,140,2
PHYS,212,PHYS,211,2
STAT,318,MATH,141,2
CMPEN,362,CMPEN,270,2
CMPEN,431,CMPEN,331,2
CMPEN,454,MATH,230,2
CMPEN,454,MATH,220,2
CMPEN,454,CMPSC,131,2
CMPSC,442,CMPSC,221,2
CMPSC,443,CMPEN,362,2
CMPSC,444,CMPSC,221,2
CMPSC,450,CMPSC,121,2
CMPSC,450,MATH,220,2
CMPSC,450,MATH,230,2
CMPSC,451,CMPSC,121,2
CMPSC,451,MATH,230,2
CMPSC,455,CMPSC,121,2
CMPSC,455,MATH,220,2
CMPSC,455,MATH,230,2
CMPSC,456,MATH,455,2
CMPSC,458,CMPSC,311,2
CMPSC,458,MATH,220,2
CMPSC,458,MATH,230,2
CMPSC,467,CMPSC,360,2
CMPSC,471,CMPSC,461,2
CMPSC,475,CMPSC,221,2
CMPSC,475,CMPSC,311,2
CMPSC,475,CMPSC,465,2
EE,456,CMPSC,121,2
EE,456,MATH,220,2
CMPSC,483W,CMPSC,311,2
CMPSC,483W,CMPSC,465,2
STAT,319,STAT,318,2
STAT,415,STAT,414,2
CMPSC,122,CMPSC,121,2
CMPEN,270,PHYS,212,2
CMPEN,271,PHYS,212,2
PHYS,213,MATH,140,2
PHYS,213,PHYS,211,2
PHYS,214,MATH,141,2
PHYS,214,PHYS,211,2
PHYS,214,PHYS,212,2



















